Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,WORLD,"2,450,711","3,090,292","3,817,539","4,763,178","6,088,370","7,116,430","7,266,778","6,844,736","6,171,133","5,184,780","4,405,301","3,978,522","3,682,317","2,953,524","2,468,490","4,803,370","75,086,026"
1990,More developed regions,"610,514","1,139,574","1,695,102","2,289,898","3,148,053","3,893,998","4,172,329","4,093,087","3,825,616","3,260,709","2,771,099","2,503,700","2,316,459","1,818,623","1,558,955","3,023,111","42,121,221"
1990,Less developed regions,"1,840,197","1,950,718","2,122,437","2,473,280","2,940,317","3,222,432","3,094,449","2,751,649","2,345,517","1,924,071","1,634,202","1,474,822","1,365,858","1,134,901","909,535","1,780,259","32,964,805"
1990,Least developed countries,"543,663","559,219","546,934","614,125","647,220","593,086","476,841","367,840","284,661","216,252","182,300","155,701","137,624","76,558","47,018","67,668","5,516,710"
1990,"Less developed regions, excluding least developed countries","1,297,027","1,392,324","1,576,445","1,860,107","2,294,628","2,631,613","2,619,892","2,385,698","2,062,366","1,708,921","1,452,853","1,319,995","1,229,092","1,058,850","862,942","1,713,275","27,466,189"
1990,High-income countries,"862,012","1,219,837","1,491,221","1,924,212","2,797,025","3,578,509","3,815,780","3,528,453","3,205,292","2,602,712","2,269,870","1,993,559","1,864,874","1,516,857","1,269,820","2,510,691","36,450,724"
1990,Middle-income countries,"1,166,105","1,442,929","1,896,153","2,377,425","2,802,826","3,064,052","3,043,397","2,995,490","2,719,252","2,393,571","1,983,830","1,863,627","1,713,223","1,368,510","1,158,959","2,233,596","34,222,945"
1990,Upper-middle-income countries,"570,553","763,639","1,057,720","1,250,668","1,409,692","1,486,943","1,440,850","1,422,673","1,285,056","1,129,592","896,075","917,755","844,079","637,338","495,175","854,249","16,462,057"
1990,Lower-middle-income countries,"595,552","679,290","838,433","1,126,757","1,393,134","1,577,109","1,602,547","1,572,817","1,434,196","1,263,979","1,087,755","945,872","869,144","731,172","663,784","1,379,347","17,760,888"
1990,Low-income countries,"416,563","416,350","415,984","448,709","477,096","458,911","390,874","304,799","234,437","179,360","145,086","117,425","101,540","66,460","38,629","57,301","4,269,524"
1990,Sub-Saharan Africa,"670,558","675,175","645,073","732,430","812,498","777,035","636,779","495,679","376,559","283,421","231,160","192,490","171,626","99,741","60,303","84,325","6,945,013"
1990,AFRICA,"712,559","713,467","686,087","781,228","870,315","831,038","679,459","528,049","400,913","302,812","247,126","205,902","184,173","108,787","67,011","91,972","7,411,059"
1990,Eastern Africa,"280,079","262,527","270,822","302,430","322,437","317,990","273,219","211,752","160,130","122,062","100,865","82,898","71,435","47,925","25,756","40,515","2,892,842"
1990,Burundi,"11,468","12,172","10,929","10,878","14,954","20,724","22,456","17,664","13,317","9,707","7,656","5,518","4,799","3,794","1,517","2,290","169,843"
1990,Comoros,353,492,607,643,660,836,887,815,638,481,351,224,156,109,43,67,"7,362"
1990,Djibouti,"1,886","2,889","5,244","8,835","11,116","10,089","6,855","3,570","1,792","1,403","1,203","1,068",845,522,261,401,"57,979"
1990,Eritrea,333,290,382,537,712,792,711,566,384,252,181,163,131,88,35,63,"5,620"
1990,Ethiopia,"35,977","38,717","47,823","62,842","69,020","66,864","55,182","42,539","31,650","24,112","19,223","15,794","14,263","12,049","4,819","7,232","548,106"
1990,Kenya,"8,184","10,102","13,230","20,056","15,885","15,907","12,334","9,394","6,867","5,863","4,842","3,877","3,383","2,590","1,796","2,130","136,440"
1990,Madagascar,775,787,585,660,892,975,916,797,746,750,661,525,366,284,363,487,"10,569"
1990,Malawi,"90,821","76,203","67,066","69,384","58,947","50,627","40,029","31,251","24,084","16,441","14,809","13,213","11,139","4,324","3,126","9,740","581,204"
1990,Mauritius,160,196,147,100,173,180,185,159,127,87,58,53,56,51,37,81,"1,850"
1990,Mayotte,483,463,589,729,853,854,730,567,365,161,187,183,165,55,19,46,"6,449"
1990,Mozambique,"8,969","6,275","4,634","6,917","11,909","4,224","2,921","2,664","1,916","1,684","1,237",976,677,535,305,429,"56,272"
1990,Réunion,"1,095","2,591","3,304","2,503","1,768","2,574","2,810","2,755","1,989","1,571","1,326",847,464,307,211,371,"26,486"
1990,Rwanda,"4,418","4,909","5,438","6,506","8,687","9,338","8,511","6,825","5,357","4,220","3,430","2,747","1,986","2,106","2,047","2,654","79,179"
1990,Seychelles,96,93,81,57,107,183,228,196,134,86,64,59,39,31,29,34,"1,517"
1990,Somalia,"44,719","32,158","28,073","21,719","21,014","22,666","18,823","14,843","10,264","6,525","4,894","2,974","2,816",938,787,880,"234,093"
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,Uganda,"22,731","21,170","21,839","23,634","27,590","29,869","27,069","22,061","16,932","13,851","11,188","9,910","7,739","5,616","2,812","4,212","268,223"
1990,United Republic of Tanzania,"21,144","22,721","25,350","27,757","30,925","31,557","28,790","22,751","17,612","14,199","12,316","10,592","9,121","6,840","4,359","4,601","290,635"
1990,Zambia,"9,996","11,145","12,813","13,939","14,569","14,269","13,063","10,981","8,890","7,214","5,967","4,878","3,421","2,388","1,071","1,618","136,222"
1990,Zimbabwe,"16,471","19,154","22,688","24,734","32,656","35,462","30,719","21,354","17,066","13,455","11,272","9,297","9,869","5,298","2,119","3,179","274,793"
1990,Middle Africa,"68,173","74,404","70,905","71,077","75,294","73,018","64,853","54,616","44,844","35,327","25,239","20,016","15,635","10,310","5,293","7,032","716,036"
1990,Angola,697,"1,221","1,907","2,318","2,181","1,711","1,259",847,675,633,576,421,363,232,174,160,"15,375"
1990,Cameroon,"7,733","10,874","12,724","12,032","12,690","13,641","13,643","11,706","9,652","7,205","2,774","1,651","1,385","1,049",419,639,"119,817"
1990,Central African Republic,"4,152","3,610","3,144","3,088","3,292","3,203","2,740","2,159","1,695","1,299",931,694,566,468,233,274,"31,548"
1990,Chad,"2,233","3,464","4,266","4,243","3,981","3,799","3,104","2,306","1,715","1,335","1,010",731,781,620,248,373,"34,209"
1990,Congo,"4,821","4,161","5,020","5,944","7,054","7,614","7,240","6,330","4,949","3,567","2,515","1,948","1,699","1,158",463,696,"65,179"
1990,Democratic Republic of the Congo,"41,827","44,973","38,320","38,147","40,422","36,819","30,868","26,457","22,430","18,568","15,510","13,226","9,732","5,995","3,415","4,368","391,077"
1990,Equatorial Guinea,157,116,83,89,119,138,135,118,85,59,41,38,30,21,14,32,"1,275"
1990,Gabon,"6,472","5,767","5,209","4,881","5,335","5,954","5,763","4,538","3,347","2,379","1,676","1,186",988,711,284,437,"54,927"
1990,Sao Tome and Principe,81,218,232,335,220,139,101,155,296,282,206,121,91,56,43,53,"2,629"
1990,Northern Africa,"130,595","143,637","112,837","119,539","118,000","103,872","82,710","70,087","58,224","45,377","45,838","46,894","47,656","17,717","13,898","15,676","1,172,557"
1990,Algeria,"7,603","7,419","7,267","8,375","10,876","13,084","13,103","11,244","9,344","7,967","6,844","5,836","4,795","3,754","2,815","3,394","123,720"
1990,Egypt,"10,328","9,480","8,879","8,511","9,242","6,415","4,898","4,742","4,057","3,577","3,082","2,253","2,368","1,968",787,"1,193","81,780"
1990,Libya,"21,261","18,720","22,135","28,956","34,104","30,281","20,296","12,281","7,298","4,690","3,311","3,115","3,547","1,695","1,476","1,202","214,368"
1990,Morocco,"1,778","1,579","1,599","1,680","1,802","1,930","1,996","1,965","1,873","1,752","1,576","1,323","1,139","1,179","1,316","1,384","25,871"
1990,Sudan,"88,594","105,345","71,823","70,741","60,183","49,869","40,030","37,717","33,870","25,986","29,872","33,482","35,109","8,671","7,190","8,029","706,511"
1990,Tunisia,970,"1,032","1,071","1,214","1,675","2,115","2,206","1,995","1,675","1,334","1,099",846,669,432,303,448,"19,084"
1990,Western Sahara,61,62,63,62,118,178,181,143,107,71,54,39,29,18,11,26,"1,223"
1990,Southern Africa,"22,981","28,948","32,528","42,278","59,960","59,553","53,077","50,354","42,680","36,087","29,083","25,147","24,711","18,166","10,857","15,050","551,460"
1990,Botswana,"1,343","1,219","1,008",719,788,"1,156","1,365","1,073",739,527,355,215,160,89,61,79,"10,896"
1990,Lesotho,383,332,297,303,392,448,440,348,273,216,164,119,62,37,34,74,"3,922"
1990,Namibia,"3,617","4,526","4,638","5,661","5,705","4,716","4,061","3,655","3,215","2,780","2,365","2,166","2,159","2,284","2,583","2,762","56,893"
1990,South Africa,"15,953","21,076","24,028","32,140","49,435","49,746","43,907","42,417","36,112","30,642","24,709","21,432","21,352","15,056","7,441","11,210","446,656"
1990,Swaziland,"1,685","1,795","2,557","3,455","3,640","3,487","3,304","2,861","2,341","1,922","1,490","1,215",978,700,738,925,"33,093"
1990,Western Africa,"210,731","203,951","198,995","245,904","294,624","276,605","205,600","141,240","95,035","63,959","46,101","30,947","24,736","14,669","11,207","13,699","2,078,164"
1990,Benin,"4,778","4,124","3,205","3,895","4,990","5,024","3,302","2,403","1,526",886,648,294,363,205,183,294,"36,120"
