Year,"Sort
order","Major area, region, country or area of destination",0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,1990001,WORLD,"4,913,034","6,239,581","7,790,181","9,807,967","12,683,865","15,178,164","15,632,226","14,628,099","13,035,545","10,818,652","8,996,913","7,828,541","6,962,599","5,460,774","4,371,096","8,193,983","152,542,373"
1990,1990002,More developed regions,"1,258,383","2,344,628","3,500,366","4,748,887","6,512,663","8,015,733","8,508,110","8,272,516","7,665,191","6,467,532","5,407,993","4,731,334","4,193,438","3,237,972","2,669,556","4,856,547","82,391,619"
1990,1990003,Less developed regions,"3,654,651","3,894,953","4,289,815","5,059,080","6,171,202","7,162,431","7,124,116","6,355,583","5,370,354","4,351,120","3,588,920","3,097,207","2,769,161","2,222,802","1,701,540","3,337,436","70,150,754"
1990,1990004,Least developed countries,"1,075,910","1,111,457","1,102,234","1,222,202","1,262,601","1,171,243","958,992","756,354","588,853","450,413","381,816","325,798","282,194","156,640","93,960","132,559","11,073,226"
1990,1990005,"Less developed regions, excluding least developed countries","2,579,732","2,785,169","3,189,501","3,838,806","4,911,738","5,996,011","6,170,153","5,603,505","4,784,943","3,903,174","3,209,171","2,773,266","2,488,772","2,067,357","1,608,466","3,206,285","59,116,432"
1990,1990006,High-income countries,"1,725,598","2,470,546","3,067,085","4,041,275","5,977,181","7,895,067","8,494,172","7,750,618","6,897,043","5,510,358","4,683,717","3,970,815","3,544,860","2,823,270","2,267,771","4,119,634","75,239,010"
1990,1990007,Middle-income countries,"2,360,959","2,926,421","3,867,256","4,864,041","5,761,347","6,351,982","6,317,248","6,215,283","5,621,339","4,910,351","3,990,251","3,599,880","3,204,699","2,500,392","2,024,615","3,959,117","68,475,181"
1990,1990008,Upper-middle-income countries,"1,159,192","1,561,496","2,182,980","2,616,981","3,004,005","3,210,212","3,102,276","3,032,914","2,712,843","2,354,044","1,819,943","1,759,968","1,568,823","1,140,909","820,994","1,364,752","33,412,332"
1990,1990009,Lower-middle-income countries,"1,201,767","1,364,925","1,684,276","2,247,060","2,757,342","3,141,770","3,214,972","3,182,369","2,908,496","2,556,307","2,170,308","1,839,912","1,635,876","1,359,483","1,203,621","2,594,365","35,062,849"
1990,1990010,Low-income countries,"813,954","819,564","826,612","875,891","921,808","901,129","787,592","629,916","491,846","378,721","308,647","249,230","207,112","133,291","76,448","112,213","8,533,974"
1990,1990011,Sub-Saharan Africa,"1,322,559","1,331,468","1,272,215","1,444,427","1,646,462","1,665,096","1,425,071","1,149,088","891,736","677,064","545,499","437,327","374,138","212,669","125,259","169,858","14,690,319"
1990,1990012,AFRICA,"1,398,630","1,401,488","1,344,153","1,531,194","1,758,164","1,782,433","1,530,528","1,237,599","961,455","730,853","586,689","469,650","401,775","231,517","138,822","185,290","15,690,623"
1990,1990013,Eastern Africa,"550,576","517,413","532,435","601,740","649,306","652,377","576,960","460,174","354,039","271,732","224,068","182,251","154,343","100,326","53,877","82,414","5,964,031"
1990,1990014,Burundi,"22,459","23,463","20,802","20,214","27,170","38,450","44,435","36,481","27,382","19,646","15,760","11,621","9,925","7,646","3,058","4,598","333,110"
1990,1990015,Comoros,600,844,"1,053","1,159","1,237","1,594","1,708","1,592","1,268",985,752,496,341,225,90,135,"14,079"
1990,1990016,Djibouti,"5,415","7,310","11,681","17,361","20,195","19,015","13,622","8,289","4,618","3,714","3,244","2,837","2,232","1,191",595,902,"122,221"
1990,1990017,Eritrea,718,625,819,"1,149","1,513","1,676","1,498","1,189",808,529,376,338,270,166,66,108,"11,848"
1990,1990018,Ethiopia,"77,249","82,902","102,266","134,231","146,833","141,491","116,311","89,373","66,453","50,187","39,590","32,523","29,004","23,488","9,395","14,094","1,155,390"
1990,1990019,Kenya,"17,616","21,480","27,980","42,711","33,769","33,416","26,853","21,309","16,045","13,703","11,183","8,965","7,498","5,808","4,118","4,838","297,292"
1990,1990020,Madagascar,"1,241","1,287","1,059","1,323","1,841","1,865","1,697","1,564","1,673","1,950","1,986","1,781","1,359",986,"1,071","1,234","23,917"
1990,1990021,Malawi,"167,574","141,449","126,627","134,246","117,183","102,482","81,556","63,675","49,072","33,501","29,852","26,092","21,760","8,298","5,985","18,372","1,127,724"
1990,1990022,Mauritius,312,379,297,194,328,322,344,303,253,185,128,117,123,114,76,138,"3,613"
1990,1990023,Mayotte,938,903,"1,166","1,568","1,988","2,106","1,866","1,493","1,001",451,522,492,435,147,53,100,"15,229"
1990,1990024,Mozambique,"17,900","12,866","9,374","15,745","26,975","9,720","6,240","5,746","4,261","3,885","2,956","2,306","1,582","1,209",668,899,"122,332"
1990,1990025,Réunion,"2,240","5,260","6,787","5,201","3,727","5,407","5,943","5,991","4,462","3,682","3,213","2,117","1,162",744,480,794,"57,210"
1990,1990026,Rwanda,"8,621","9,363","10,193","12,641","17,969","20,686","19,430","15,753","11,480","8,329","6,330","4,806","3,876","3,546","3,169","3,677","159,869"
1990,1990027,Seychelles,192,189,173,131,259,455,577,515,369,243,179,158,102,71,53,55,"3,721"
1990,1990028,Somalia,"87,893","62,658","50,126","37,481","37,752","44,753","42,200","37,416","27,422","17,679","12,934","7,509","6,734","2,211","1,695","1,831","478,294"
