Country,WEO,ISO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,512,AFG,51935,61623,60718,64768,54458,65560,65633,67169,73386,70653,94726,100367
Albania,914,ALB,,,,74191,77407,86010,83746,81047,81622,89744,93033,96178
Argentina,213,ARG,165850,172736,160218,163791,171534,162875,176094,170086,184956,181233,189126,180521
Armenia,911,ARM,75541,75842,75726,82651,89261,85150,85974,79122,86337,86217,90946,94946
Australia,193,AUS,65886,70889,76129,70842,71535,68517,84534,78797,84368,83573,93179,93519
Austria,122,AUT,61012,51461,52707,51866,48094,48179,44824,44688,48562,43401,44943,47831
The Bahamas,313,BHS,,,,30301,31602,34319,31903,31403,31812,34796,33163,32507
Bangladesh,513,BGD,135088,143619,145479,151091,153691,184469,187992,203179,210190,228682,234640,248696
Barbados,316,BRB,55113,55693,49265,49567,52829,49922,51849,52499,51378,51739,54374,56191
Belarus,913,BLR,,,,62183,56217,56618,49823,50934,56791,56958,62514,67762
Belgium,124,BEL,,,,31896,32408,26922,36041,30726,35373,34232,35406,36897
Belize,339,BLZ,,,,48567,47197,45556,47437,50296,48368,48811,48918,48874
Bolivia,218,BOL,73394,70219,71491,74024,78900,76626,71850,79924,80650,78093,79461,72313
Bosnia and Herzegovina,963,BIH,119574,124589,119163,113303,125793,122529,121938,112240,111317,107969,101638,101875
Brazil,223,BRA,342555,338853,332632,359149,339613,329861,325547,337040,335608,361374,409595,451084
Bulgaria,918,BGR,,,,53516,62684,65202,64964,67941,63318,67377,70800,67028
Myanmar,518,MMR,,,,76918,82200,95726,116318,116775,128071,137567,142494,160275
Cabo Verde,624,CPV,,,,32885,33460,35836,33938,30744,37145,43352,44519,46792
Cambodia,522,KHM,145215,145266,145919,154545,164746,160212,159666,164746,163383,166268,152415,153199
Cameroon,622,CMR,,,,,40649,40451,36679,46556,49695,51172,49430,56799
Canada,156,CAN,846913,830388,818920,814965,798649,786317,800985,840192,806387,830628,783206,809267
Chile,228,CHL,89060,85057,91590,87607,91172,97337,88290,97585,94089,95104,93647,101068
China,924,CHN,1334079,1363645,1360545,1432115,1608095,1650411,1710424,1804965,1929535,2065431,2130352,2216810
Colombia,233,COL,592436,604527,600226,609845,636555,658667,677068,677231,706826,699399,704587,783032
Costa Rica,238,CRI,81342,85605,81038,86343,81933,78111,76678,78659,83337,90109,85133,83075
Croatia,960,HRV,44198,44416,45607,44474,47740,41484,45295,39026,43067,36978,39747,35962
Cuba,,,935865,983454,974657,991385,1104679,1094811,1113901,1144024,1172899,1210674,1271618,1311803
Czechoslovakia (inc. Czech Republic and Slovakia),,,77187,77670,76906,67340,71755,72905,66367,64354,68928,66631,65982,66715
Denmark,128,DNK,,,,32966,29441,32171,26360,28521,26920,29039,33715,29376
Dominica,321,DMA,,,,32717,28540,30369,23436,31222,28163,32370,31220,33509
Dominican Republic,243,DOM,766570,755539,771910,793285,879187,897263,957376,991046,997734,1063239,1085321,1162568
Ecuador,248,ECU,384677,406907,412676,411826,443173,435476,420910,427906,423576,441257,439123,454178
Egypt,469,EGY,136931,136648,129970,138194,137799,147515,172783,176443,172631,185872,181677,184359
El Salvador,253,SLV,1047124,1104390,1094993,1149895,1214049,1264743,1271859,1252067,1315474,1352357,1387022,1401832
Eritrea,643,ERI,,,,23840,29681,34876,29438,33930,36967,39063,43010,49134
Ethiopia,644,ETH,126748,134547,137012,148221,173592,162044,200503,195805,214530,228745,244924,249991
Fiji,819,FJI,,,,36954,39277,40897,39966,38782,43309,41936,43406,52528
France,132,FRA,149481,154786,157636,156379,147959,160833,166215,170394,166291,173561,175250,185775
Germany,134,DEU,635238,631990,641417,622608,604616,608288,592431,584184,582727,585298,563985,552640
Ghana,652,GHA,103051,104842,108802,108647,124696,130399,129177,149377,150305,155532,171428,164610
Greece,174,GRC,162203,159272,148336,144173,135639,138269,134956,137084,136906,141325,135484,130967
Grenada,328,GRD,,,,34145,29110,28437,35271,32820,34184,29982,36056,34117
Guatemala,258,GTM,720901,700567,739254,798682,830824,850882,858530,902293,915595,927593,935707,958842
Guyana,336,GUY,250178,242667,258096,245596,265271,259036,260268,259815,273019,281408,266368,268577
