Country,WEO,ISO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,314,ABW,0,,,,,6,,,,2,,4,5,4,2,6,5,3,5,4,4,2,4,6,2,,,
Afghanistan,512,AFG,,,,,,,,,,,,,,,,,,,,1115,983,1231,1948,,,3367,2289,2515
Angola,614,AGO,,,,,,,,,,,,,,,,,,,,,,1055,1217,,,,,
Albania,914,ALB,,,130,191,112,259,272,1334,660,532,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,82,99,68
United Arab Emirates,466,ARE,,,,,,,,,,,,,,45,27,56,39,,,,67,51,69,57,61,60,66,44
Argentina,213,ARG,,,,,,,,,,,,,,,,,,,,,,,,,3227,2837,2625,2279
Armenia,911,ARM,178,186,305,268,157,116,114,100,93,90,91,88,69,76,83,58,79,77,97,97,56,71,65,63,72,75,87,70
Antigua and Barbuda,311,ATG,1,3,2,4,5,7,3,1,,,5,7,5,5,4,3,11,17,16,16,6,,10,,,,,
Australia,193,AUS,374,340,301,333,320,356,354,364,334,385,362,347,366,302,263,259,281,255,261,263,231,248,243,245,243,236,227,203
Austria,122,AUT,89,103,97,80,88,78,99,66,77,60,82,70,65,50,59,54,61,45,58,51,58,75,79,62,45,46,57,
Azerbaijan,912,AZE,329,357,564,478,499,443,400,284,280,242,226,218,212,183,201,192,190,189,192,,206,,202,221,236,225,208,201
Burundi,618,BDI,,,,,,,,,,,,,,,,,,,341,376,347,349,500,520,564,461,635,
Belgium,124,BEL,104,102,121,145,120,142,120,145,,,212,282,319,230,268,221,221,211,203,189,189,214,205,205,210,230,174,193
Benin,638,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
Burkina Faso,748,BFA,,,,,,,,,,,,,78,81,78,63,69,94,151,135,123,90,115,121,130,117,209,240
Bangladesh,513,BGD,,,,,,,,,,,3343,3678,3503,3471,3902,3592,4166,3863,4099,4219,3988,3966,4114,4393,4514,4035,3591,3549
Bulgaria,918,BGR,227,375,462,490,492,494,438,398,381,327,332,308,255,247,244,199,186,177,172,150,148,128,141,109,112,126,79,103
Bahrain,419,BHR,,,,,,5,8,6,,,,9,8,3,7,4,7,4,6,13,11,7,4,5,7,,,
The Bahamas,313,BHS,45,28,41,35,52,40,51,46,,,74,43,52,50,44,52,61,78,73,87,94,127,111,119,124,146,111,122
Bosnia and Herzegovina,963,BIH,73,,,,,,,,,,99,82,90,,68,70,73,66,66,71,56,51,63,46,50,57,45,42
Belarus,913,BLR,508,465,594,756,829,960,970,1021,1036,974,1013,969,989,879,815,825,734,649,541,487,401,373,340,333,340,,,
Belize,339,BLZ,,,,,,,,,,,41,64,87,67,79,81,92,97,103,97,129,124,145,99,123,119,138,142
Bolivia,218,BOL,,,,,,,,,,,,,,,,478,482,770,828,819,1273,1236,1221,932,942,671,686,
Brazil,223,BRA,29301,28148,25967,28013,29851,34000,35673,37153,38442,39362,41595,43975,45585,46828,44379,43645,45086,44625,45885,44518,43272,48084,53054,54163,58497,58459,61597,63895
Barbados,316,BRB,34,21,22,21,20,17,,,20,23,20,25,25,33,22,29,35,25,23,19,31,27,22,24,25,31,22,30
Brunei Darussalam,516,BRN,,,,,,,9,8,4,4,4,,,3,2,2,3,3,1,3,1,1,4,2,,,,
Bhutan,514,BTN,20,12,27,19,20,16,12,7,11,13,18,19,19,5,15,11,9,14,18,16,16,32,33,24,,12,9,13
Botswana,616,BWA,,,,,,,,,,,,213,255,312,259,291,261,280,281,289,303,,,,,,,
Central African Republic,626,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,913,
Canada,156,CAN,657,754,733,626,596,587,634,586,559,539,546,554,582,549,625,664,608,597,614,610,556,606,548,509,522,610,612,660
Switzerland,146,CHE,110,98,93,105,80,82,83,87,76,89,69,86,86,73,78,75,60,51,54,51,52,46,45,57,41,57,45,45
Chile,228,CHL,,,,,,,,,,,,,,513,,576,590,616,588,630,541,636,434,556,,610,612,779
China,924,CHN,,,,,,27356,25411,26070,26292,25983,26858,25939,26276,24393,24711,20770,17973,16119,14811,14667,13410,12015,11286,10640,10083,9200,8634,7990
Ivory Coast,662,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,622,CMR,,,,,,,,,,,459,755,1031,1002,,,,,776,1277,999,835,880,,212,269,276,341
Democratic Republic of the Congo,636,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Congo,634,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,233,COL,24330,28424,28184,28441,27079,22321,23350,23200,23089,24355,26539,27840,28387,23523,20210,18111,17479,17198,16140,15817,15459,16127,16440,15419,13343,12782,12402,12237
Comoros,632,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,624,CPV,,,,,,,,,,,,,,15,21,44,35,29,34,38,39,53,56,54,65,46,62,
Costa Rica,238,CRI,139,132,160,160,182,184,189,210,224,245,249,257,258,300,280,335,351,369,512,525,527,474,407,411,477,557,578,603
Cyprus,423,CYP,5,1,2,5,7,9,10,6,7,10,8,7,2,14,16,20,15,13,9,19,8,9,22,12,11,15,13,7
Germany,134,DEU,1173,1343,1391,1250,1343,1370,1250,1179,976,1005,1015,925,955,859,868,869,808,757,722,803,793,738,659,682,716,682,963,813
Djibouti,611,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,321,DMA,,,,,,,,,9,7,2,1,9,8,8,8,5,7,7,13,15,6,,,9,9,16,19
Denmark,128,DNK,41,68,62,71,75,59,68,88,49,52,58,52,48,65,43,53,29,39,54,47,42,46,47,48,74,62,56,71
Dominican Republic,243,DOM,,908,807,930,1005,1007,1032,1038,1121,1066,1210,1095,1279,1902,2239,2394,2144,2111,2394,2375,2474,2513,2268,1978,1810,,1616,1216
Algeria,612,DZA,,,,,,,,,,,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,,
Ecuador,248,ECU,892,1153,935,926,1139,1372,1463,1317,1643,1682,1833,1658,1906,1937,2390,2121,2385,2273,2607,2625,2623,2344,1923,1725,1311,1052,963,972
Egypt,469,EGY,269,288,276,244,231,,,,,,,,,471,322,522,549,680,967,912,1839,2703,2207,,,,,
Eritrea,643,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,184,ESP,484,439,441,474,429,411,397,463,522,486,553,577,564,587,520,518,476,482,407,412,401,385,364,302,323,302,294,307
Estonia,939,EST,118,119,217,282,302,246,214,178,196,157,143,137,142,147,91,113,91,96,86,70,70,65,63,52,41,45,33,29
Ethiopia,644,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,172,FIN,152,154,156,130,147,146,153,139,113,143,148,156,132,103,148,119,119,129,133,120,119,110,88,89,88,82,74,69
Fiji,819,FJI,32,17,26,15,35,24,13,13,,,,,,25,23,23,22,21,17,29,20,20,20,19,20,,,
France,132,FRA,1355,1355,1342,1519,1406,1336,1171,963,961,953,1051,1047,1119,987,990,976,879,993,1021,819,796,856,784,777,792,1012,874,824
Micronesia,868,FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,646,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,112,GBR,713,734,869,885,919,900,840,865,921,920,915,966,1107,926,950,834,860,873,762,706,756,641,627,603,589,652,791,803
Georgia,915,GEO,270,419,770,878,578,391,270,285,243,244,239,263,292,302,298,403,323,330,263,210,187,,,,108,,39,
Ghana,652,GHA,,,,,,,,,,,,433,401,436,452,393,412,399,430,427,422,423,560,551,543,525,549,609
Guinea,656,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,654,GNB,,,,,,,,,,,,,,,,,,,,,,,,81,65,48,64,21
Equatorial Guinea,642,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,174,GRC,104,138,137,150,133,151,169,203,176,155,,132,94,122,111,132,110,130,144,152,176,184,166,153,107,93,84,82
Grenada,328,GRD,,,,,,,,,,,15,6,14,9,6,11,12,11,16,7,10,4,14,6,8,6,11,12
Guatemala,258,GTM,,,2669,3231,3239,3260,3619,3998,3310,2655,2904,3230,3631,4237,4507,5338,5885,5781,6292,6498,5960,5681,5155,5253,4998,4778,4520,4410
Guyana,336,GUY,90,192,105,117,108,109,88,87,113,91,76,80,143,209,131,142,153,115,158,117,140,130,139,155,149,149,142,115
Hong Kong SAR,532,HKG,137,92,108,86,96,73,77,102,64,63,43,66,69,52,45,34,35,18,36,47,35,17,27,62,27,22,28,24
Honduras,268,HND,496,704,955,1253,1682,1534,,,,2563,3176,3488,3623,4073,3639,3212,3118,3588,4455,5280,6236,7104,7172,6431,5891,5148,5150,3864
Croatia,960,HRV,137,437,387,218,143,166,122,118,105,111,101,81,73,69,83,68,74,62,71,49,62,49,51,46,36,37,44,46
Haiti,263,HTI,,,,,,,,,,,,,,,,,,486,498,598,677,914,1033,1039,980,1071,1028,
Hungary,944,HUN,201,307,305,298,313,296,271,289,289,253,205,254,203,228,209,164,174,154,181,139,138,145,124,154,146,221,202,242
Indonesia,536,IDN,,,,,,,,,1758,2090,2204,,,1635,1419,,,,1372,1311,1058,1467,1456,1386,1277,1491,1292,1150
India,534,IND,44162,48574,49688,47947,47458,46386,46912,47418,49292,47781,48167,46420,45736,44331,46490,45095,44961,45362,45999,45824,46460,47640,47478,45878,47356,44373,42678,
Ireland,178,IRL,17,23,25,23,25,43,42,38,38,38,37,52,52,37,30,52,62,78,51,53,55,42,52,51,52,31,37,41
Islamic Republic of Iran,429,IRN,,,,,,,,,,,,,,1803,2015,,,,,2215,,,,2037,1936,,,
Iraq,433,IRQ,1168,1171,1397,1118,1267,,,,,,,,,,,,,,4596,2554,2691,2634,2697,3339,3029,,,
Iceland,176,ISL,,,,,0,0,1,2,0,2,5,1,4,0,3,3,0,2,0,1,2,3,1,1,2,3,1,3
Israel,436,ISR,147,112,149,141,140,112,117,156,147,137,147,223,227,195,173,166,182,125,136,128,145,151,134,,118,110,,
Italy,136,ITA,1794,1938,1476,1071,969,1012,953,873,889,819,766,709,644,719,714,610,625,631,615,590,529,552,530,502,475,469,400,
Jamaica,343,JAM,544,566,632,657,692,780,925,1038,859,854,887,1139,1045,975,1471,1674,1340,1584,1619,1683,1447,1133,1099,1201,1005,1208,1354,1647
Jordan,439,JOR,120,121,141,165,197,35,45,42,,,,,,,,67,100,112,120,102,116,141,161,144,170,151,131,133
Japan,158,JPN,676,639,673,715,751,724,652,710,775,736,678,697,662,697,699,643,619,574,654,506,465,442,429,370,395,363,362,306
Kazakhstan,916,KAZ,1475,1512,1880,2586,2549,2447,2625,2581,2531,2374,2325,2160,1967,1991,2091,,,,1807,1771,1387,1420,1266,1120,904,853,,915
Kenya,664,KEN,,,,,,,,,,,,,,,1200,1084,1106,1102,1215,1907,1926,2271,2374,2450,2305,2261,2363,2466
Kyrgyz Republic,917,KGZ,603,366,468,548,546,535,519,439,425,433,430,386,411,420,419,491,446,416,417,419,909,467,380,301,320,305,267,256
Cambodia,522,KHM,,,429,599,303,397,542,317,793,581,571,407,425,509,511,448,400,393,333,331,331,268,,,,,,
Kiribati,826,KIR,,0,0,0,0,0,1,0,0,0,3,4,,,,,,,7,1,4,11,8,,,,,
St. Kitts and Nevis,361,KNA,,,,,,4,4,7,8,6,3,6,5,10,11,8,17,16,23,27,21,34,18,,,,,
Korea,542,KOR,208,217,240,306,224,228,246,277,378,385,370,407,371,387,420,411,416,430,430,532,485,403,435,352,377,375,361,301
Kuwait,443,KWT,,,,,,,16,,,,,39,23,29,43,41,45,59,38,49,60,59,61,,,,,
Lao P.D.R.,544,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,446,LBN,,,,,,,,,,,,,,,,,,,183,145,163,168,194,236,240,231,235,
Liberia,668,LBR,,,,,,,,,,,,,,,,,,100,177,145,129,161,135,,,,,
Libya,672,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,362,LCA,14,10,14,8,10,16,12,13,14,16,23,34,42,36,37,41,43,29,39,39,44,46,39,33,34,28,30,53
Sri Lanka,524,LKA,1985,,,,,1614,1775,1851,,1919,,,,1310,1377,1219,2044,,2002,1099,763,732,676,619,553,487,530,486
Lesotho,666,LSO,519,549,640,665,833,,,,,,,,,,,,,895,752,723,764,712,641,658,,897,,
Lithuania,946,LTU,180,214,266,416,465,502,405,391,311,309,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153,129
Luxembourg,137,LUX,,,,,6,2,4,4,4,6,4,9,6,3,2,4,7,7,8,5,10,4,0,1,4,5,5,2
Latvia,941,LVA,,,259,387,348,288,268,272,250,229,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,69,81
Macao SAR,546,MAC,,19,7,13,15,8,17,30,24,37,10,8,2,8,4,4,10,6,4,6,2,4,4,1,0,1,1,2
Morocco,686,MAR,89,124,132,148,184,,,732,556,540,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,594,761
Moldova,921,MDA,290,290,499,387,401,402,400,414,375,391,433,411,401,319,277,296,262,217,236,246,267,304,229,169,130,,,
Madagascar,674,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,556,MDV,1,,,,,2,,6,,,,7,8,4,,,,3,5,6,6,3,10,3,,,,
