Country,WEO,ISO,Year,Assaults
Albania,914,ALB,2005,165
Albania,914,ALB,2006,246
Albania,914,ALB,2007,219
Albania,914,ALB,2008,363
Albania,914,ALB,2009,379
Albania,914,ALB,2010,178
Albania,914,ALB,2011,169
Albania,914,ALB,2012,156
Albania,914,ALB,2013,163
Albania,914,ALB,2014,132
Albania,914,ALB,2015,169
Albania,914,ALB,2016,118
Albania,914,ALB,2017,125
Algeria,612,DZA,2003,23050
Algeria,612,DZA,2004,20234
Algeria,612,DZA,2005,32920
Algeria,612,DZA,2006,36681
Algeria,612,DZA,2007,36915
Algeria,612,DZA,2008,40398
Algeria,612,DZA,2009,42298
Algeria,612,DZA,2010,41381
Algeria,612,DZA,2011,45548
Algeria,612,DZA,2012,52287
Algeria,612,DZA,2013,54472
Algeria,612,DZA,2014,53853
Algeria,612,DZA,2015,49091
Argentina,213,ARG,2005,142099
Argentina,213,ARG,2006,134291
Argentina,213,ARG,2007,137181
Argentina,213,ARG,2008,145240
Argentina,213,ARG,2014,178611
Argentina,213,ARG,2015,181321
Argentina,213,ARG,2016,142986
Argentina,213,ARG,2017,142120
Armenia,911,ARM,2004,190
Armenia,911,ARM,2005,180
Armenia,911,ARM,2006,178
Armenia,911,ARM,2007,164
Armenia,911,ARM,2008,201
Armenia,911,ARM,2009,166
Armenia,911,ARM,2010,155
Armenia,911,ARM,2011,161
Armenia,911,ARM,2012,157
Armenia,911,ARM,2013,176
Armenia,911,ARM,2014,198
Armenia,911,ARM,2015,163
Armenia,911,ARM,2016,186
Armenia,911,ARM,2017,181
Australia,193,AUS,2008,68019
Australia,193,AUS,2009,71972
Australia,193,AUS,2010,68665
Australia,193,AUS,2011,66103
Australia,193,AUS,2012,63709
Australia,193,AUS,2013,66211
Australia,193,AUS,2014,67081
Australia,193,AUS,2015,68002
Australia,193,AUS,2016,70986
Australia,193,AUS,2017,72964
Austria,122,AUT,2004,3584
Austria,122,AUT,2005,3611
Austria,122,AUT,2006,3577
Austria,122,AUT,2007,3878
