Country,ISO,AreaName,RegName,DevName
Aruba,ABW,Latin America and the Caribbean,Caribbean,Less developed regions
Afghanistan,AFG,Asia,Southern Asia,Less developed regions
Angola,AGO,Africa,Middle Africa,Less developed regions
Albania,ALB,Europe,Southern Europe,More developed regions
United Arab Emirates,ARE,Asia,Western Asia,Less developed regions
Argentina,ARG,Latin America and the Caribbean,South America,Less developed regions
Armenia,ARM,Asia,Western Asia,Less developed regions
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,Less developed regions
Australia,AUS,Oceania,Australia and New Zealand,More developed regions
Austria,AUT,Europe,Western Europe,More developed regions
Azerbaijan,AZE,Asia,Western Asia,Less developed regions
Burundi,BDI,Africa,Eastern Africa,Less developed regions
Belgium,BEL,Europe,Western Europe,More developed regions
Benin,BEN,Africa,Western Africa,Less developed regions
Burkina Faso,BFA,Africa,Western Africa,Less developed regions
Bangladesh,BGD,Asia,Southern Asia,Less developed regions
Bulgaria,BGR,Europe,Eastern Europe,More developed regions
Bahrain,BHR,Asia,Western Asia,Less developed regions
The Bahamas,BHS,Latin America and the Caribbean,Caribbean,Less developed regions
Bosnia and Herzegovina,BIH,Europe,Southern Europe,More developed regions
Belarus,BLR,Europe,Eastern Europe,More developed regions
Belize,BLZ,Latin America and the Caribbean,Central America,Less developed regions
Bolivia,BOL,Latin America and the Caribbean,South America,Less developed regions
Brazil,BRA,Latin America and the Caribbean,South America,Less developed regions
Barbados,BRB,Latin America and the Caribbean,Caribbean,Less developed regions
Brunei Darussalam,BRN,Asia,South-Eastern Asia,Less developed regions
Bhutan,BTN,Asia,Southern Asia,Less developed regions
Botswana,BWA,Africa,Southern Africa,Less developed regions
Central African Republic,CAF,Africa,Middle Africa,Less developed regions
Canada,CAN,Northern America,Northern America,More developed regions
Switzerland,CHE,Europe,Western Europe,More developed regions
Chile,CHL,Latin America and the Caribbean,South America,Less developed regions
China,CHN,Asia,Eastern Asia,Less developed regions
Ivory Coast,CIV,Africa,Western Africa,Less developed regions
Cameroon,CMR,Africa,Middle Africa,Less developed regions
Democratic Republic of the Congo,COD,Africa,Middle Africa,Less developed regions
Republic of Congo,COG,Africa,Middle Africa,Less developed regions
Colombia,COL,Latin America and the Caribbean,South America,Less developed regions
Comoros,COM,Africa,Eastern Africa,Less developed regions
Cabo Verde,CPV,Africa,Western Africa,Less developed regions
Costa Rica,CRI,Latin America and the Caribbean,Central America,Less developed regions
Cyprus,CYP,Asia,Western Asia,Less developed regions
Czech Republic,CZE,Europe,Eastern Europe,More developed regions
Germany,DEU,Europe,Western Europe,More developed regions
Djibouti,DJI,Africa,Eastern Africa,Less developed regions
Dominica,DMA,Latin America and the Caribbean,Caribbean,Less developed regions
Denmark,DNK,Europe,Northern Europe,More developed regions
Dominican Republic,DOM,Latin America and the Caribbean,Caribbean,Less developed regions
Algeria,DZA,Africa,Northern Africa,Less developed regions
Ecuador,ECU,Latin America and the Caribbean,South America,Less developed regions
Egypt,EGY,Africa,Northern Africa,Less developed regions
Eritrea,ERI,Africa,Eastern Africa,Less developed regions
Spain,ESP,Europe,Southern Europe,More developed regions
Estonia,EST,Europe,Northern Europe,More developed regions
Ethiopia,ETH,Africa,Eastern Africa,Less developed regions
Finland,FIN,Europe,Northern Europe,More developed regions
