Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,,,,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.332,594.513,560.601,569.531
Albania,ALB,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.729,2975.623,3594.101,4377.04,4130.929,4098.125,4438.925,4248.814,4422.674,4575.416,3944.876,4126.557,4539.247
Algeria,DZA,1630.071,1794.695,1768.577,1806.86,2128.385,2636.309,3141.027,3508.959,3986.564,4943.502,3886.059,4480.719,5453.894,5574.507,5477.055,5466.329,4153.322,3921.291,4016.087
Angola,AGO,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4303.696
Antigua and Barbuda,ATG,10349.505,10981.376,10414.643,10482.368,10893.152,11582.523,12738.001,14264.568,15996.056,16514.078,14616.947,13613.471,13346.768,14006.82,13646.242,14436.522,15219.198,16225.279,16619.974
Argentina,ARG,8452.876,8386.587,7851.658,2898.289,3648.061,4314.397,5163.55,5976.082,7315.726,9146.79,8337.811,10412.945,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14588.011
Armenia,ARM,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3526.336,3857.179
Aruba,ABW,19215.013,20678.398,20909.299,21081.787,21704.381,23421.303,23874.635,24389.24,26114.088,27204.889,24594.675,23468.6,24801.812,24236.809,24253.141,24599.296,24686.161,23988.63,24360.65
Australia,AUS,21726.343,20851.865,19431.456,21644.925,27222.017,32750.675,36151.042,37868.932,45105.41,49151.941,45685.238,56453.828,67222.144,68436.219,65170.853,61652.281,51493.961,51982.827,55957.72
Austria,AUT,27209.314,24631.577,24554.252,26482.842,32290.952,36871.579,38477.272,40672.614,46922.423,51953.557,48095.397,46958.519,51441.105,48615.817,50748.087,51814.366,44266.411,45105.749,47383.869
