Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,,,,22.203,23.116,24.019,24.861,25.631,26.617,27.294,28.004,28.803,29.709,30.697,31.732,32.758,33.736,34.656,35.53
Albania,ALB,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.876
Algeria,DZA,29.965,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721
Angola,AGO,16.625,17.124,17.637,18.166,18.711,19.273,19.851,20.446,21.06,21.692,22.342,23.013,23.703,24.414,25.147,25.901,26.681,27.503,28.377
Antigua and Barbuda,ATG,0.074,0.076,0.077,0.078,0.079,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.086,0.087,0.088,0.089,0.09,0.091
Argentina,ARG,36.399,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.072
Armenia,ARM,3.09,3.08,3.06,3.05,3.04,3.03,3.01,3,2.99,2.98,2.97,2.966,2.968,2.97,2.98,2.985,2.99,2.991,2.991
Aruba,ABW,0.09,0.091,0.092,0.092,0.093,0.095,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.105,0.106,0.108,0.109,0.11,0.111
Australia,AUS,18.919,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.39,24.775
Austria,AUT,7.992,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815
Azerbaijan,AZE,7.953,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.922,8.998,9.111,9.235,9.357,9.477,9.593,9.706,9.822
