,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
0,Afghanistan,512.0,AFG,877.0,1011.0,1202.0,1759.0,1252.0,2137.0,4749.0,3417.0,1753.0,2813.0,3165.0,2017.0,1648.0,1617.0,2196.0,10527.0,8328.0,12513.0,19538.0,Asia
1,Albania,914.0,ALB,3695.0,4755.0,4358.0,3765.0,3362.0,3840.0,5947.0,7914.0,5737.0,5754.0,5137.0,4711.0,3612.0,3364.0,3186.0,3828.0,4653.0,5773.0,5722.0,Europe
2,Algeria,612.0,DZA,789.0,906.0,875.0,1030.0,759.0,805.0,1115.0,1300.0,1036.0,1037.0,1485.0,1305.0,1364.0,1369.0,1241.0,1669.0,1775.0,2180.0,2139.0,Africa
34,Angola,614.0,AGO,57.0,87.0,94.0,92.0,59.0,107.0,188.0,272.0,199.0,221.0,173.0,148.0,148.0,187.0,143.0,148.0,154.0,198.0,209.0,Africa
66,Antigua and Barbuda,311.0,ATG,454.0,429.0,461.0,380.0,301.0,414.0,440.0,570.0,415.0,444.0,437.0,359.0,368.0,337.0,344.0,369.0,290.0,324.0,322.0,Latin America and the Caribbean
67,Argentina,213.0,ARG,1387.0,2317.0,3297.0,3661.0,3129.0,4805.0,7081.0,7327.0,5645.0,5353.0,5780.0,4399.0,4473.0,4359.0,4372.0,3874.0,3730.0,4091.0,3482.0,Latin America and the Caribbean
68,Armenia,911.0,ARM,1250.0,1253.0,1762.0,1800.0,1287.0,1833.0,2591.0,6317.0,4351.0,3586.0,3442.0,2979.0,2983.0,2681.0,2722.0,2913.0,2962.0,3543.0,3437.0,Asia
69,Aruba,314.0,ABW,14.0,25.0,29.0,32.0,27.0,31.0,42.0,51.0,55.0,36.0,38.0,49.0,39.0,54.0,45.0,40.0,38.0,23.0,47.0,Latin America and the Caribbean
70,Australia,193.0,AUS,1103.0,2044.0,2811.0,2557.0,1836.0,2604.0,3193.0,3249.0,2518.0,2464.0,2622.0,2512.0,2343.0,2414.0,2759.0,2809.0,3034.0,3239.0,2906.0,Oceania
71,Austria,122.0,AUT,230.0,405.0,522.0,483.0,295.0,402.0,532.0,524.0,485.0,443.0,512.0,442.0,424.0,407.0,415.0,438.0,474.0,432.0,387.0,Europe
72,Azerbaijan,912.0,AZE,738.0,1036.0,1152.0,1164.0,746.0,969.0,1523.0,2371.0,1166.0,1071.0,834.0,781.0,728.0,663.0,637.0,672.0,676.0,784.0,881.0,Asia
73,The Bahamas,313.0,BHS,398.0,766.0,924.0,808.0,423.0,586.0,698.0,847.0,738.0,682.0,751.0,652.0,668.0,619.0,630.0,654.0,725.0,656.0,725.0,Latin America and the Caribbean
74,Bahrain,419.0,BHR,70.0,106.0,118.0,85.0,59.0,116.0,140.0,148.0,133.0,96.0,120.0,104.0,119.0,104.0,115.0,122.0,145.0,138.0,130.0,Asia
75,Bangladesh,513.0,BGD,6038.0,7204.0,7152.0,5483.0,4616.0,8061.0,11487.0,14644.0,12074.0,11753.0,16651.0,14819.0,16707.0,14705.0,12099.0,14645.0,13570.0,18723.0,14693.0,Asia
76,Barbados,316.0,BRB,715.0,777.0,895.0,813.0,516.0,630.0,846.0,959.0,689.0,585.0,603.0,465.0,455.0,460.0,428.0,384.0,376.0,371.0,373.0,Latin America and the Caribbean
77,Belarus,913.0,BLR,1320.0,2170.0,2901.0,2923.0,1858.0,2255.0,3503.0,3086.0,2328.0,2390.0,2407.0,2038.0,1964.0,1659.0,1970.0,2015.0,1994.0,2127.0,1919.0,Europe
78,Belgium,124.0,BEL,426.0,670.0,814.0,769.0,455.0,638.0,859.0,716.0,638.0,642.0,686.0,592.0,567.0,574.0,675.0,632.0,662.0,691.0,625.0,Europe
79,Belize,339.0,BLZ,572.0,757.0,936.0,966.0,588.0,871.0,876.0,1252.0,1073.0,1077.0,1041.0,965.0,905.0,847.0,946.0,789.0,772.0,851.0,746.0,Latin America and the Caribbean
